EntityID,ProductOrPath,Processor,StartHour,EndHour
1032,Sapphire,Fit-Check,696.0,576.0
1032,Sapphire,Bonded,672.0,720.0
1032,Sapphire,Vacuum,720.0,744.0
1032,Sapphire,Post Bond Clean,744.0,816.0
1032,Sapphire,Clean & Classify,984.0,1416.0
1032,Sapphire,MAC,2520.0,2520.0
1032,Sapphire,LastTouchups,2520.0,2520.0
1032,Sapphire,Cure Times.ShipCureDate,2520.0,2688.0
1033,Sapphire,Fit-Check,912.0,576.0
1033,Sapphire,Bonded,672.0,1032.0
1033,Sapphire,Vacuum,1032.0,1056.0
1033,Sapphire,Post Bond Clean,1056.0,1080.0
1033,Sapphire,Clean & Classify,1080.0,1344.0
1033,Sapphire,MAC,2544.0,2520.0
1033,Sapphire,LastTouchups,2520.0,2520.0
1033,Sapphire,Cure Times.ShipCureDate,2520.0,1584.0
1034,Sapphire,Fit-Check,912.0,576.0
1034,Sapphire,Bonded,672.0,1032.0
1034,Sapphire,Vacuum,1032.0,1056.0
1034,Sapphire,Post Bond Clean,1056.0,1080.0
1034,Sapphire,Pre-CICRW,1536.0,1584.0
1034,Sapphire,Frontside Overcoating,1584.0,1080.0
1034,Sapphire,Clean & Classify,1080.0,1344.0
1034,Sapphire,MAC,2496.0,2496.0
1034,Sapphire,LastTouchups,2496.0,2496.0
1034,Sapphire,Cure Times.ShipCureDate,2496.0,2664.0
1035,Sapphire,Fit-Check,912.0,576.0
1035,Sapphire,Bonded,1008.0,1032.0
1035,Sapphire,Vacuum,1032.0,1056.0
1035,Sapphire,Post Bond Clean,1056.0,1080.0
1035,Sapphire,Pre-CICRW,2400.0,2472.0
1035,Sapphire,Frontside Overcoating,2472.0,1152.0
1035,Sapphire,Clean & Classify,1152.0,1296.0
1035,Sapphire,MAC,2520.0,2544.0
1035,Sapphire,LastTouchups,2544.0,2544.0
1035,Sapphire,Cure Times.ShipCureDate,2544.0,2712.0
1036,Sapphire,Fit-Check,912.0,648.0
1036,Sapphire,Bonded,1008.0,1032.0
1036,Sapphire,Vacuum,1032.0,1056.0
1036,Sapphire,Post Bond Clean,1056.0,1536.0
1036,Sapphire,Clean & Classify,1080.0,1344.0
1036,Sapphire,MAC,2496.0,2496.0
1036,Sapphire,LastTouchups,2496.0,2496.0
1036,Sapphire,Cure Times.ShipCureDate,2496.0,1464.0
1037,Sapphire,Fit-Check,912.0,648.0
1037,Sapphire,Bonded,1008.0,1032.0
1037,Sapphire,Vacuum,1032.0,1056.0
1037,Sapphire,Post Bond Clean,1056.0,1080.0
1037,Sapphire,Clean & Classify,1152.0,1296.0
1037,Sapphire,MAC,2496.0,2496.0
1037,Sapphire,LastTouchups,2496.0,2496.0
1037,Sapphire,Cure Times.ShipCureDate,2496.0,1488.0
1038,Sapphire,Fit-Check,912.0,648.0
1038,Sapphire,Bonded,1008.0,1032.0
1038,Sapphire,Vacuum,1032.0,1056.0
1038,Sapphire,Post Bond Clean,1056.0,1152.0
1038,Sapphire,Clean & Classify,1200.0,1536.0
1038,Sapphire,MAC,2496.0,2496.0
1038,Sapphire,LastTouchups,2496.0,2496.0
1038,Sapphire,Cure Times.ShipCureDate,2496.0,2664.0
1039,Sapphire,Fit-Check,984.0,720.0
1039,Sapphire,Bonded,1008.0,1152.0
1039,Sapphire,Vacuum,1152.0,1176.0
1039,Sapphire,Post Bond Clean,1176.0,1200.0
1039,Sapphire,Clean & Classify,1200.0,1296.0
1039,Sapphire,MAC,2496.0,2496.0
1039,Sapphire,LastTouchups,2496.0,2496.0
1039,Sapphire,Cure Times.ShipCureDate,2496.0,1584.0
1040,Sapphire,Fit-Check,984.0,720.0
1040,Sapphire,Bonded,1008.0,1152.0
1040,Sapphire,Vacuum,1152.0,1176.0
1040,Sapphire,Post Bond Clean,1176.0,1200.0
1040,Sapphire,Clean & Classify,1200.0,1296.0
1040,Sapphire,MAC,2496.0,2496.0
1040,Sapphire,LastTouchups,2496.0,2496.0
1040,Sapphire,Cure Times.ShipCureDate,2496.0,2664.0
1041,Sapphire,Fit-Check,984.0,720.0
1041,Sapphire,Bonded,1008.0,1152.0
1041,Sapphire,Vacuum,1152.0,1176.0
1041,Sapphire,Post Bond Clean,1176.0,1536.0
1041,Sapphire,Clean & Classify,1200.0,1296.0
1041,Sapphire,MAC,2520.0,2520.0
1041,Sapphire,LastTouchups,2520.0,2520.0
1041,Sapphire,Cure Times.ShipCureDate,2520.0,1560.0
1042,Sapphire,Fit-Check,984.0,720.0
1042,Sapphire,Bonded,1008.0,1152.0
1042,Sapphire,Vacuum,1152.0,1176.0
1042,Sapphire,Post Bond Clean,1176.0,1200.0
1042,Sapphire,Clean & Classify,1200.0,1344.0
1042,Sapphire,MAC,2496.0,2544.0
1042,Sapphire,LastTouchups,2544.0,2496.0
1042,Sapphire,Cure Times.ShipCureDate,2496.0,1560.0
1043,Sapphire,Fit-Check,984.0,720.0
1043,Sapphire,Bonded,1008.0,1152.0
1043,Sapphire,Vacuum,1152.0,1176.0
1043,Sapphire,Post Bond Clean,1176.0,1200.0
1043,Sapphire,Clean & Classify,1200.0,1392.0
1043,Sapphire,MAC,2496.0,2496.0
1043,Sapphire,LastTouchups,2496.0,2496.0
1043,Sapphire,Cure Times.ShipCureDate,2496.0,1752.0
1044,Sapphire,Fit-Check,1008.0,720.0
1044,Sapphire,Bonded,1032.0,1152.0
1044,Sapphire,Vacuum,1152.0,1176.0
1044,Sapphire,Post Bond Clean,1176.0,1200.0
1044,Sapphire,Pre-CICRW,1584.0,1584.0
1044,Sapphire,Frontside Overcoating,1584.0,1200.0
1044,Sapphire,Clean & Classify,1200.0,1704.0
1044,Sapphire,MAC,2496.0,2496.0
1044,Sapphire,LastTouchups,2496.0,2496.0
